iter	Passed	Remaining
0	6	603
1	10	535
2	15	496
3	19	458
4	23	452
5	28	442
6	31	417
7	33	389
8	36	369
9	39	351
10	41	337
11	44	324
12	46	312
13	49	302
14	51	293
15	54	284
16	56	275
17	57	263
18	59	252
19	60	243
20	62	234
21	63	226
22	65	218
23	66	211
24	68	204
25	69	198
26	71	192
27	72	186
28	74	181
29	75	176
30	77	171
31	78	167
32	80	162
33	81	158
34	83	154
35	84	150
36	85	145
37	87	142
38	88	138
39	89	134
40	91	131
41	91	126
42	93	123
43	94	120
44	95	117
45	97	114
46	98	111
47	99	108
48	101	105
49	102	102
50	103	99
51	105	97
52	106	94
53	107	91
54	108	89
55	110	86
56	111	84
57	112	81
58	114	79
59	115	77
60	116	74
61	118	72
62	119	70
63	120	68
64	122	65
65	123	63
66	125	61
67	126	59
68	127	57
69	129	55
70	131	53
71	132	51
72	134	49
73	135	47
74	136	45
75	138	43
76	139	41
77	140	39
78	142	37
79	143	35
80	145	34
81	146	32
82	147	30
83	148	28
84	150	26
85	151	24
86	153	22
87	154	21
88	155	19
89	157	17
90	158	15
91	159	13
92	161	12
93	162	10
94	164	8
95	165	6
96	166	5
97	168	3
98	169	1
99	170	0
